Sr No,Name,Category,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8
44,Rajesh Thakur,Open Master Solo,5:19:16,9:13:10,9:25:05,7:13:08,6:25:46,4:57:19,7:38:20,4:14:12
45,Rakesh Rana,Open Men Solo,3:50:34,5:40:29,5:44:18,4:41:59,4:12:55,3:23:21,5:32:52,2:38:25
46,Ravikant Chaudhary,Open Men Solo,8:06:26,DNF,DNF,9:35:35,8:10:03,6:40:50,DNF,DNF
47,Richard Gordon McCabe,Open Master Solo,4:54:39,6:59:18,8:00:10,5:40:15,4:57:35,3:55:47,6:33:30,3:26:52
48,Rubal Sharma,Open Men Solo,5:38:32,8:50:48,DNF,6:23:08,DNF,4:50:25,DNF,DNF
49,Ruben Chirino,Grand Master Solo,5:35:46,DNF,DNF,7:01:00,DNF,5:05:00,7:18:52,4:25:55
50,Sagar Mehta,Open Men Solo,DNF,DNF,DNF,8:56:46,8:00:15,5:51:16,8:48:18,5:23:00
51,Sandeep Kumar Madaan,Open Men Solo,4:18:33,7:07:08,7:28:05,4:49:23,4:55:37,4:57:41,5:21:15,2:53:15
52,Sanjay Jaiman,Grand Master Solo,8:04:42,DNF,DNF,DNF,DNF,DNF,DNF,DNF
53,Sarah Appelt,Open Women Solo,5:09:28,7:28:04,8:41:49,6:21:34,6:03:30,4:06:35,7:34:56,4:00:32
54,Shiven,Open Men Solo,3:29:15,5:22:03,5:40:36,4:32:25,4:07:30,3:00:21,4:59:43,2:24:30
55,Stephan Reiser,Open Master Solo,5:36:11,7:42:12,8:31:38,6:19:23,5:38:12,4:16:54,7:17:30,3:51:49
56,Sunil Barongpa,Open Master Solo,3:57:21,6:03:56,6:31:51,5:16:12,4:40:40,3:21:55,5:57:17,3:09:38
57,Tania Lima,Open Women Solo,5:01:32,7:02:48,8:09:33,5:59:51,5:02:59,3:51:45,6:41:52,3:41:35
58,Thomas Turner,Open Men Solo,2:48:26,4:19:29,4:55:30,3:50:48,3:32:51,2:32:29,4:42:32,2:34:53
59,varun chaudhary,Team of Two (t07),7:08:29,DNF,DNF,9:05:07,8:25:00,6:03:00,9:27:28,4:59:48
60,Vicky Chettri,Team of Two (t08),5:15:47,7:39:31,8:29:14,6:35:10,6:02:12,4:12:52,7:29:36,4:19:53
61,Vikram Shivaji Barate,Open Men Solo,7:50:48,DNF,DNF,DNF,DNF,6:41:00,DNF,DNF
62,Willibert Dreesen,Grand Master Solo,6:06:33,8:15:53,9:16:05,6:59:59,6:17:02,4:08:29,8:12:36,5:04:03
63,Yogesh Kumar,Open Men Solo,4:22:07,6:54:37,6:52:50,5:23:22,6:01:16,3:36:44,5:46:10,3:11:25
